t=,2062882, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.072, mSel=,+0.351, b=,0.016, m=,0.160, ca=,0.0427, cr=,0.0431,  actvprof=,1.539838, best_B_id=,B05, best_B_prof=,1.539838, best_B_strat=, mBuy=,-0.072, mSel=,+0.351, b=,0.016, m=,0.160, ca=,0.0427, cr=,0.0431, 
t=,2093219, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.072, mSel=,+0.351, b=,0.016, m=,0.160, ca=,0.0427, cr=,0.0431,  actvprof=,1.527460, best_B_id=,B05, best_B_prof=,1.527460, best_B_strat=, mBuy=,-0.072, mSel=,+0.351, b=,0.016, m=,0.160, ca=,0.0427, cr=,0.0431, 
t=,2123555, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.088, mSel=,+0.323, b=,0.000, m=,0.155, ca=,0.0492, cr=,0.0431,  actvprof=,1.547645, best_B_id=,B05, best_B_prof=,1.547645, best_B_strat=, mBuy=,-0.088, mSel=,+0.323, b=,0.000, m=,0.155, ca=,0.0492, cr=,0.0431, 
t=,2153891, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.088, mSel=,+0.323, b=,0.000, m=,0.155, ca=,0.0492, cr=,0.0431,  actvprof=,1.599242, best_B_id=,B05, best_B_prof=,1.599242, best_B_strat=, mBuy=,-0.088, mSel=,+0.323, b=,0.000, m=,0.155, ca=,0.0492, cr=,0.0431, 
t=,2184228, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.324, b=,0.000, m=,0.142, ca=,0.0478, cr=,0.0414,  actvprof=,1.459973, best_B_id=,B05, best_B_prof=,1.459973, best_B_strat=, mBuy=,-0.021, mSel=,+0.324, b=,0.000, m=,0.142, ca=,0.0478, cr=,0.0414, 
t=,2214564, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.324, b=,0.000, m=,0.142, ca=,0.0478, cr=,0.0414,  actvprof=,1.461808, best_B_id=,B05, best_B_prof=,1.461808, best_B_strat=, mBuy=,-0.021, mSel=,+0.324, b=,0.000, m=,0.142, ca=,0.0478, cr=,0.0414, 
t=,2244901, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.345, b=,0.014, m=,0.148, ca=,0.0458, cr=,0.0405,  actvprof=,1.554943, best_B_id=,B05, best_B_prof=,1.554943, best_B_strat=, mBuy=,-0.012, mSel=,+0.345, b=,0.014, m=,0.148, ca=,0.0458, cr=,0.0405, 
t=,2275237, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.345, b=,0.014, m=,0.148, ca=,0.0458, cr=,0.0405,  actvprof=,1.589236, best_B_id=,B05, best_B_prof=,1.589236, best_B_strat=, mBuy=,-0.012, mSel=,+0.345, b=,0.014, m=,0.148, ca=,0.0458, cr=,0.0405, 
t=,2305574, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.052, mSel=,+0.315, b=,0.000, m=,0.175, ca=,0.0414, cr=,0.0365,  actvprof=,1.677181, best_B_id=,B05, best_B_prof=,1.677181, best_B_strat=, mBuy=,-0.052, mSel=,+0.315, b=,0.000, m=,0.175, ca=,0.0414, cr=,0.0365, 
t=,2335910, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.052, mSel=,+0.315, b=,0.000, m=,0.175, ca=,0.0414, cr=,0.0365,  actvprof=,1.684007, best_B_id=,B05, best_B_prof=,1.684007, best_B_strat=, mBuy=,-0.052, mSel=,+0.315, b=,0.000, m=,0.175, ca=,0.0414, cr=,0.0365, 
t=,2366247, id=,B05, ZIPSH,actvstrat=,mBuy=,-0.052, mSel=,+0.315, b=,0.000, m=,0.175, ca=,0.0414, cr=,0.0365,  actvprof=,1.758591, best_B_id=,B05, best_B_prof=,1.758591, best_B_strat=, mBuy=,-0.052, mSel=,+0.315, b=,0.000, m=,0.175, ca=,0.0414, cr=,0.0365, 
