t=,1976463, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.135, mSel=,+0.126, b=,0.150, m=,0.260, ca=,0.0325, cr=,0.0437,  actvprof=,0.014441, best_B_id=,B01, best_B_prof=,0.014441, best_B_strat=, mBuy=,-0.135, mSel=,+0.126, b=,0.150, m=,0.260, ca=,0.0325, cr=,0.0437, 
t=,2007836, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435,  actvprof=,0.013269, best_B_id=,B01, best_B_prof=,0.013269, best_B_strat=, mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435, 
t=,2039209, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435,  actvprof=,0.015316, best_B_id=,B01, best_B_prof=,0.015316, best_B_strat=, mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435, 
t=,2070581, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435,  actvprof=,0.011968, best_B_id=,B01, best_B_prof=,0.011968, best_B_strat=, mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435, 
t=,2101954, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435,  actvprof=,0.015076, best_B_id=,B01, best_B_prof=,0.015076, best_B_strat=, mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435, 
t=,2133326, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435,  actvprof=,0.012594, best_B_id=,B01, best_B_prof=,0.012594, best_B_strat=, mBuy=,-0.134, mSel=,+0.124, b=,0.123, m=,0.272, ca=,0.0278, cr=,0.0435, 
t=,2164699, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.140, mSel=,+0.076, b=,0.163, m=,0.253, ca=,0.0294, cr=,0.0432,  actvprof=,0.014861, best_B_id=,B01, best_B_prof=,0.014861, best_B_strat=, mBuy=,-0.140, mSel=,+0.076, b=,0.163, m=,0.253, ca=,0.0294, cr=,0.0432, 
t=,2196071, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.126, mSel=,+0.098, b=,0.170, m=,0.278, ca=,0.0283, cr=,0.0396,  actvprof=,0.016747, best_B_id=,B01, best_B_prof=,0.016747, best_B_strat=, mBuy=,-0.126, mSel=,+0.098, b=,0.170, m=,0.278, ca=,0.0283, cr=,0.0396, 
t=,2227444, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.133, mSel=,+0.075, b=,0.150, m=,0.250, ca=,0.0300, cr=,0.0404,  actvprof=,0.016856, best_B_id=,B01, best_B_prof=,0.016856, best_B_strat=, mBuy=,-0.133, mSel=,+0.075, b=,0.150, m=,0.250, ca=,0.0300, cr=,0.0404, 
t=,2258817, id=,B01, ZIPSH,actvstrat=,mBuy=,-0.112, mSel=,+0.077, b=,0.215, m=,0.241, ca=,0.0320, cr=,0.0431,  actvprof=,0.017389, best_B_id=,B01, best_B_prof=,0.017389, best_B_strat=, mBuy=,-0.112, mSel=,+0.077, b=,0.215, m=,0.241, ca=,0.0320, cr=,0.0431, 
